fault_type,component,symptom,resolution,severity,text,cluster
,,,,,FUCK,-1
,,,,low,they stolen my car!,-1
,,,,,FUCK,-1
,,,,,FUCK,-1
,,,,,FUCK,-1
,,,,low,they stolen my car!,-1
communication_error,hackergotchi_server,server response is unexpected or incorrect,"check server logs for errors, ensure server is up and running",low,your hackergotchi can be a bum :),1
communication_error,hackergotchi_server,server response is unexpected or incorrect,"check server logs for errors, ensure server is up and running",low,your hackergotchi can be a bum :),1
communication issue,chatbot,incomprehensible input,clarify the input or provide a response,low,dude?,-1
communication issue,chatbot,incomprehensible input,clarify the input or provide a response template,low,dude?,-1
communication,,incomplete communication,clarify the issue,low,are you going to fix it???,-1
communication,,incomplete communication,clarify the issue,low,are you going to fix it???,-1
,,,fix on its way,low,fix on its way,1
,,,fix on its way,low,fix on its way,1
,,,,,thanks,-1
,,,,,thanks,-1
configuration,desktop environment,user does not customize desktop,"no action required, as normal installation does not indicate a fault",low,mine is normal installation. i don't customize my desktop,-1
configuration,desktop,no customization,uncheck the customization option or reset to default settings,low,mine is normal installation. i don't customize my desktop,-1
installation issue,cdrom,installation failure,"check cdrom drive, ensure it is properly connected and functioning",low,"#1094, cdrom install or netinstall?",-1
installation issue,cdrom,installation failure,"check cdrom drive, ensure it is properly connected and functioning",low,"#1094, cdrom install or netinstall?",-1
hardware,cdrom drive,device not recognized or not functioning,"check power supply, clean the drive, or replace the cdrom",low,"cdrom, custom (probably the same for desktop)",-1
hardware,cdrom drive,device not recognized or not functioning,"check power supply, clean the drive, or replace the cdrom",low,"cdrom, custom (probably the same for desktop)",-1
software,test script,/ not recognized,recheck the test script,low,"with the tests i did i always got the /, but i will check again later today",-1
software,test tool,/ not recognized,recheck tests,low,"with the tests i did i always got the /, but i will check again later today",-1
bug,,,fixed,low,bug fixed,1
bug,,,fixed,low,bug fixed,1
communication,daily system,unusual behavior or error,check for updates or restart the system,low,but what's the problem with daily?,-1
communication,daily system,unusual behavior or error,check for updates or restart the system,low,but what's the problem with daily?,-1
,,user inquiry,no specific resolution provided,low,is there any problem with it?,-1
,,user inquiry,no specific resolution provided,low,is there any problem with it?,-1
communication,user interface,user unable to understand system response,ensure the system is providing clear and concise responses,low,"no, i haven't tried it, i want to know! :)",-1
communication,user interface,user unable to understand system response,clear the user interface or rephrase the response,low,"no, i haven't tried it, i want to know! :)",-1
communication,system,unresponsive,reboot system,low,test it and let us know :-))),-1
communication issue,communication system,no response,check the communication link and ensure it is connected properly,low,test it and let us know :-))),-1
syntax_error,query,incorrect response,clarify the request,low,that's not what i asked :),1
configuration issue,configuration settings,system already configurable,verify if the system is correctly configured and all settings are enabled,low,it is already configurable,-1
syntax_error,query,incorrect response,clarify the request,low,that's not what i asked :),1
configuration issue,configuration settings,system already configurable,verify if the system is correctly configured and all settings are enabled,low,it is already configurable,-1
syntax_error,,undefined variable or function,check the spelling and case of the variable or function name. ensure it exists in the current scope.,low,for sure X is not,-1
syntax_error,,undefined variable or function,check the spelling and case of the variable or function name. ensure it exists in the current scope.,low,for sure X is not,-1
configuration error,pcp (powerpc),unable to determine settings,check the configuration settings in the pcp interface,low,who is responsable for setting that stuff on ppc?,-1
,,,,,1187,-1
,,,,,1187,-1
configuration error,pcp (powerpc),unable to determine settings,check the configuration settings in the pcp interface,low,who is responsable for setting that stuff on ppc?,-1
,ppc,unable to identify specific ppc packages,research and identify the specific ppc packages involved,low,i dunno really.. i don't have a ppc and i don't know all the specific ppc packages around,-1
,powerpc-utils,inability to perform a specific task,"check if the task is supported by powerpc-utils, or update to a newer version",low,but perhaps powerpc-utils could do it?,-1
communication,system,incomplete or unclear communication,clarify the message or ask for more details,low,i think kamion would have good ideas for this one,-1
,powerpc-utils,inability to perform a specific task,"check if the task is supported by powerpc-utils, or update to a newer version",low,but perhaps powerpc-utils could do it?,-1
,sysctl,system configuration issues,check sysctl.conf file for incorrect settings,low,sysctl,-1
communication,system,incomplete or unclear communication,clarify the message or ask for more details,low,i think kamion would have good ideas for this one,-1
,ppc packages,unable to identify specific ppc packages,research and identify the specific ppc packages involved,low,i dunno really.. i don't have a ppc and i don't know all the specific ppc packages around,-1
,sysctl,system configuration issues,check sysctl.conf file for incorrect settings,low,sysctl,-1
communication,season control system,inability to open hoary season,ensure warty is not in deep freeze before attempting to open hoary season,low,can we open hoary season while warty is in deep freeze?,-1
communication,system,incomplete or unclear communication,clarify the message or rephrase the communication,low,we might want to take advantage of this month time,-1
communication,season control system,inability to open hoary season,ensure warty is not in deep freeze before attempting to open hoary season,low,can we open hoary season while warty is in deep freeze?,-1
communication,system,incomplete or unclear communication,clarify the message or rephrase the communication,low,we might want to take advantage of this month time,-1
communication_error,release_schedule_system,misunderstood release schedule,clarify the release schedule in a clear and concise manner,low,otherwise hoary will have a 5 months release schedule :-),-1
communication_error,release_schedule_system,misunderstood release schedule,clarify the release schedule in a clear and concise manner,low,otherwise hoary will have a 5 months release schedule :-),-1
communication,process reqs,unspecified,clarify the requirements,low,see the process reqs,0
communication,process reqs,unresolved communication,check process requirements,low,see the process reqs,0
ui freeze,sounder list,preview freeze during upload requirements,restart the application or clear browser cache,low,preview freeze upload requirements on sounder list,-1
ui freeze,sounder list,preview freeze during upload requirements,restart the application or check for updates,low,preview freeze upload requirements on sounder list,-1
build,not specified in the message,build issues,check build logs for errors and fix the issues,low,there have been some build issues,-1
input-output,binary loader,"sources go in, binaries don't turn up","check binary loader for errors, ensure proper input/output paths",low,"sources go in, binaries don't turn up, etc.",-1
build,not specified in the message,build issues,check build logs for errors and fix the issues,low,there have been some build issues,-1
input-output,binary loader,"sources go in, binaries don't turn up","check binary loader for errors, ensure proper input/output paths",low,"sources go in, binaries don't turn up, etc.",-1
vision issue,display,unable to see the content,check if the display thread is properly connected and powered on. ensure there is no physical damage to the display.,low,he can still see via thread..,-1
vision,thread,vision impairment,check thread for obstructions or damage,low,he can still see via thread..,-1
configuration,ide (kdevelop),unable to locate the development environment directory,ensure the path to the kdevelop directory is correctly set in the ide's configuration settings,low,perhaps you need to point it at the dir kdevelop is in,-1
configuration,ide (kdevelop),unable to locate the directory,ensure the path to kdevelop is correctly set in the ide settings,low,perhaps you need to point it at the dir kdevelop is in,-1
query,xmms,user confusion,clarify that 'xmms' is a music player command,low,with xmms?,-1
user_query,,,the user is seeking information about a preferred player application.,low,or what player do you use,-1
software,media player,unable to play mp3s,install or update mp3 player software,low,is one able to play mp3s in Ubuntu or not?,-1
software,media player,unable to play mp3s,install mpg123 or ffmpeg,low,is one able to play mp3s in Ubuntu or not?,-1
query,xmms,user confusion,clarify that 'xmms' is a music player command,low,with xmms?,-1
user_query,,,the user is seeking information about a preferred player application.,low,or what player do you use,-1
software,alsa,cannot use alsa on ubuntu,install alsa-utils package,low,you can't use alsa on Ubuntu?,-1
software,alsa,cannot use alsa on ubuntu,install alsa-utils package,low,you can't use alsa on Ubuntu?,-1
driver_incompatibility,alsa_drivers,apps crash or behave unpredictably when trying to use oss emulation,switch apps to use esd for oss emulation,low,"we use the alsa drivers, but set apps to use esd to talk to oss emulation (more stable than the alsa libraries)",-1
driver_incompatibility,alsa_drivers,apps crash or behave unpredictably when trying to use oss emulation,use esd for oss emulation instead of alsa drivers,low,"we use the alsa drivers, but set apps to use esd to talk to oss emulation (more stable than the alsa libraries)",-1
libs exposition,libraries,libs not well exposed,documentation and api improvements,low,"it is, but the libs are not well exposed yet :-)",-1
libs exposition,libraries,libs not well exposed,documentation and exposure of libs,low,"it is, but the libs are not well exposed yet :-)",-1
,,,,low,"i have a 220R, an ultra 5 and an SS10 -> i'll help! ;)",-1
,,,,low,"i have a 220R, an ultra 5 and an SS10 -> i'll help! ;)",-1
communication,mark,unclear communication about resource allocation,mark should clarify the number of porters needed for arch foo and the placement of buildd's at the datacenter,low,no. Mark said that if there are enough porter for arch foo he will take care of placing buildd's at the datacenter,-1
performance,r220,performance inferior to u60 and t1,upgrade to u60 or t1,low,you R220 sucks compared to my U60 or my t1 ;),-1
communication,external buildds,unresolved communication issues,contact lamont,low,we'll have to sort out external buildds with lamont :),-1
,,,,low,but it's bigger and louder and manlier :-),-1
communication,ubuntu-user,no response or issue,check if the user is online or if there is a network issue,low,follow up on ubuntu-user :-),-1
communication,external buildds,unresolved communication issues,contact lamont,low,we'll have to sort out external buildds with lamont :),-1
performance,r220,performance inferior to u60 and t1,upgrade to u60 or t1,low,you R220 sucks compared to my U60 or my t1 ;),-1
communication,ubuntu-user,no response or issue,check if the user is online or if there is a network issue,low,follow up on ubuntu-user :-),-1
,,,,low,but it's bigger and louder and manlier :-),-1
communication,mark,unclear communication about resource allocation,mark should clarify the number of porters needed for arch foo and the placement of buildd's at the datacenter,low,no. Mark said that if there are enough porter for arch foo he will take care of placing buildd's at the datacenter,-1
communication,communication system,incomplete or unclear communication,clarify the communication,low,we'll have to at some stage,-1
,,system is functioning normally,no action required,low,true :-),1
communication,buildd,no external buildd,check network connectivity or external buildd configuration,low,no external buildd,-1
communication,communication system,incomplete or unclear communication,clarify the communication,low,we'll have to at some stage,-1
,,system is functioning normally,no action required,low,true :-),1
communication,buildd,no external buildd,check network connectivity or external buildd configuration,low,no external buildd,-1
,,,,low,we can buy one E10K and that's it,-1
,,,,low,i don't think so,-1
communication issue,email system,messages not delivered to recipients,"verify email addresses and contact details, check for any blocked emails",low,"eheh well you will have to convice: Mark, elmo, lamont & Co.",-1
communication issue,email system,messages not reaching intended recipients,"check email settings for mark, elmo, and lamont to ensure they are set to receive emails from the system.",low,"eheh well you will have to convice: Mark, elmo, lamont & Co.",-1
,,,,low,we can buy one E10K and that's it,-1
,,,,low,i don't think so,-1
syntax_or_semantics_error,user_input_or_chatbot_response,ambiguous or misunderstood input,clarify the input or rephrase the response,low,well that goes behiond my problem ;),1
communication_error,web_interface,user unable to understand interface,rephrase instructions or improve user interface,low,well that goes behiond my problem ;),1
communication issue,busid,communication failure,check busid discussion for troubleshooting steps,low,see busid discussion above,0
,,,,low,not now..,1
,,system or service is not responding,try restarting the system or service,low,not now..,1
communication issue,busid,communication failure,check busid discussion for troubleshooting steps,low,see busid discussion above,0
,,,,low,http://www.gnome.org/~jdub/blog/1095608125 :-),0
,,,,low,http://www.gnome.org/~jdub/blog/1095608125 :-),0
,,,,,knows,1
,,,,,knows,1
crash,trash appplet,crashing,restart the trash appplet or the system,low,is the trash appplet crashing common atm?,-1
component_crash,trash appplet,crashing,restart trash appplet,low,is the trash appplet crashing common atm?,-1
bug,,,,low,seb has filed a bug report,-1
bug,,,,low,seb has filed a bug report,-1
,,,,low,i am purist :P,1
,,,,low,same thing these days :),-1
,,,,low,i am purist :P,1
,,,,low,same thing these days :),-1
performance degradation,java 1.5,loads much faster,check for updates or use a newer version of java,low,java 1.5 loads _much_ faster,-1
version_mismatch,java_runtime,system hangs or crashes,update to a compatible version of java,high,java 1.4?,0
loading time delay,java plugin,loading takes longer than expected,"check for updates, disable unnecessary browser extensions, or clear browser cache",low,any ideas why java plugin takes so long to load?,-1
performance degradation,java 1.5,loads much faster,check for updates or use a newer version of java,low,java 1.5 loads _much_ faster,-1
version_mismatch,java_runtime,system hangs or crashes,update to a compatible version of java,high,java 1.4?,0
loading time delay,java plugin,loading takes longer than expected,"check for updates, disable unnecessary browser extensions, or clear browser cache",low,any ideas why java plugin takes so long to load?,-1
,,,,low,not yet.,-1
package_missing,software,unable to find package,search for .deb file or use package manager to install,low,noneus: how can i get 1.5 is there a .deb somewhere?,-1
query,,,check the system documentation or contact support for clarification.,low,noneus: is this blackdown or sun?,-1
installation,java runtime environment (jre),user confusion about installation,confirm installation of jre and guide user on how to check its version,low,did you install just the jre?,-1
installation,java runtime environment (jre),user confusion about installation,confirm installation of jre and guide user on how to check its version,low,did you install just the jre?,-1
query,,,check the system documentation or contact support for clarification on the terms 'blackdown' and 'sun'.,low,noneus: is this blackdown or sun?,-1
,,,,low,not yet.,-1
package_missing,software,unable to find package,search for .deb file or use package manager to install,low,noneus: how can i get 1.5 is there a .deb somewhere?,-1
,globus development,,,low,"(jdk, because I do globus development)",0
development,globus,,check the documentation or seek support,low,"(jdk, because I do globus development)",0
software version mismatch,ibm's software,system may not function as expected,update to the latest version,low,I use IBM's 1.4.2,0
software version mismatch,ibm's software,system may not function as expected,update to the latest version,low,I use IBM's 1.4.2,0
communication_error,jre_plugin,unable to determine standard jre with plugin,check if the jre is properly installed and if the plugin is enabled,low,"ah ok then, i'll give it a try, does IBM have a standard jre with plugin?",0
software upgrade,firefox and java,java takes real long time to load,rolling back the upgrade or restarting the computer,low,"thanks, i'll try that, screwed up and tried to upgrade firefox/java on my own now java takes real long time to load",-1
communication_error,jre_plugin,unable to connect or receive response from ibm jre plugin,"ensure the jre plugin is installed and up-to-date, check network connectivity",low,"ah ok then, i'll give it a try, does IBM have a standard jre with plugin?",0
software upgrade,firefox and java,java takes real long time to load,rolling back the upgrade or restarting the computer,low,"thanks, i'll try that, screwed up and tried to upgrade firefox/java on my own now java takes real long time to load",-1
missing_dependency,jre package,unable to find ibm jre package,visit the official ibm website or use a package manager to install the jre package,low,"can't seem to find an ibm jre package, would you happen to have a url?",0
software_missing,ibm jre package,unable to locate ibm jre package,visit the official ibm website or use package managers like maven or npm to install the ibm jre package,low,"can't seem to find an ibm jre package, would you happen to have a url?",0
ui error,login page,unable to create login,check if the username and password fields are filled correctly. ensure the login credentials are correct and try again.,low,you have to create a login.,-1
,,,,low,much appreciated,-1
ui error,login page,unable to create login,check if the username and password fields are filled correctly. ensure the login credentials are correct and try again.,low,you have to create a login.,-1
link error,software,unable to download,check internet connection and try again,low,https://www6.software.ibm.com/dl/lxdk/lxdk-p,0
link error,software,unable to download,check internet connection and try again,low,https://www6.software.ibm.com/dl/lxdk/lxdk-p,0
,,,,low,much appreciated,-1
query,ibm java,version query,check the latest version of ibm java by visiting the ibm website or using the package manager.,low,1.42 is latest IBM java?,0
query,ibm java,version query,check the latest version of ibm java by visiting the ibm website or using the package manager.,low,1.42 is latest IBM java?,0
software installation,j2se-common,unable to find j2se-common in ubuntu,install j2se-common using the following command: sudo apt-get install j2se-common,low,do you have j2se-common installed in ubuntu as well is ibm's java?,0
,,,,low,for certain arches,-1
,,,,low,yes.,-1
,,,,low,for certain arches,-1
,,,,low,yes.,-1
software installation,j2se-common,unable to find j2se-common in ubuntu,install j2se-common using the following command: sudo apt-get install j2se-common,low,do you have j2se-common installed in ubuntu as well is ibm's java?,0
,unclear,system does not respond,"check system logs for error messages, restart the system",low,I do not.,1
,,,,low,"ok, got it",1
,,,,low,"ok, got it",1
,unclear,system does not respond,"check system logs for error messages, restart the system",low,I do not.,1
java runtime environment,java applet,loading a java applet takes a really long time,try updating java runtime environment or using a different java plugin,low,"i don't know what's up, no matter what java plugin i use, it takes a really long time to load a java applet",-1
java runtime environment,java applet,loading a java applet takes a really long time,try updating the java runtime environment or using a different java plugin,low,"i don't know what's up, no matter what java plugin i use, it takes a really long time to load a java applet",-1
software compatibility,mozilla-firefox,incompatibility issues,update to a compatible version or use a different browser,low,Hoary (kernel from Warty) mixed with Debian Sid+experimental. mozilla-firefox 1.0-2 from Sid.,-1
communication_error,user_interface,user hesitation or refusal to proceed,rephrase the message or provide alternative options,low,"eh, i dare not to go there :)",-1
software_incompatibility,firefox,user confusion about version numbers,clarify version numbers or update user guide,low,are you using warty or hoary?  and firefox .9 or 1.0?,-1
communication_error,user_interface,ambiguous response,rephrase the message or ask for clarification,low,"eh, i dare not to go there :)",-1
software compatibility,mozilla-firefox,incompatibility issues,update to a compatible version or use a different browser,low,Hoary (kernel from Warty) mixed with Debian Sid+experimental. mozilla-firefox 1.0-2 from Sid.,-1
software_incompatibility,firefox,user confusion about version numbers,clearly state the version numbers and their differences,low,are you using warty or hoary?  and firefox .9 or 1.0?,-1
,web browser,user confusion,clarify the source of the web browser,low,where'd you get that mozilla-firefox from sid? ;),-1
download_error,web_browser,unable to download .deb file,"check internet connection, try downloading from a different source, ensure browser settings allow .deb file downloads",low,i can get the .deb on the web?,-1
,,,,low,it's in Sid's pool,-1
,web browser,user confusion,clarify the source of the web browser,low,where'd you get that mozilla-firefox from sid? ;),-1
,,,,low,it's in Sid's pool,-1
download_error,web_browser,unable to download .deb file,"check internet connection, try downloading from a different source, ensure browser settings allow .deb file downloads",low,i can get the .deb on the web?,-1
delayed delivery,delivery system,delayed product arrival,wait a couple days or check the delivery status,low,"sure, but I'd wait a couple days. It'll probably be in Hoary within days.",-1
communication,network interface,unstable communication,"check network interface settings, update drivers",low,but...Hoary...isn't that unstable?,-1
delayed delivery,delivery system,delayed product arrival,wait a couple days or check the delivery status,low,"sure, but I'd wait a couple days. It'll probably be in Hoary within days.",-1
communication,network interface,unstable communication,"check network interface settings, update drivers",low,but...Hoary...isn't that unstable?,-1
query,,,,low,how did you hold back and keep Warty kernel?,-1
query,,,,low,how did you hold back and keep Warty kernel?,-1
apt-pinning issue,package manager (apt),package version mismatch,check apt-pinning configuration and ensure it aligns with the desired package versions,low,"I use apt-pinning to keep the linux-* (well, kernel-related) packages pinned to warty-security",-1
apt-pinning issue,package manager (apt),package version mismatch,check apt-pinning configuration and ensure it aligns with the desired package versions,low,"I use apt-pinning to keep the linux-* (well, kernel-related) packages pinned to warty-security",-1
,,,,,indeed.,-1
,ibm's java,,,low,"ok so far IBM's java is pretty clean, fast, and seems stable (so far) :D",0
,,,,,indeed.,-1
,ibm's java,,,low,"ok so far IBM's java is pretty clean, fast, and seems stable (so far) :D",0
software update error,apt,system upgrade failed,wait for the error to be fixed and avoid `apt-get upgrade`,low,so just wait a day for sed error to be fixed and don't `apt-get upgrade` at this time?,-1
software update error,apt,system upgrade failed,wait for the error to be fixed and avoid `apt-get upgrade`,low,so just wait a day for sed error to be fixed and don't `apt-get upgrade` at this time?,-1
,,no visible symptom reported,no specific resolution needed as no fault reported,low,"got it, thanks",-1
,,,,low,"got it, thanks",-1
migration issue,package,migrating package to pool,fixed,low,it is already fixed. The matter of the fixed package migrating to pool is of time.,-1
migration issue,package,package not migrating to pool,the issue has been resolved. the package has been successfully migrated to the pool.,low,it is already fixed. The matter of the fixed package migrating to pool is of time.,-1
software crash,,system stops functioning,restart the system,low,"LOL, CRASH! :D",-1
software crash,,system stops functioning,restart the system,low,"LOL, CRASH! :D",-1
user_error,sed,unable to find older version of sed,use package manager to install older version of sed,low,I had no older version of sed,-1
user_error,sed,unable to find older version of sed,use package manager to install older version of sed,low,I had no older version of sed,-1
software,operating system,unrecognized error message,update to a newer version of the operating system,low,"haven't seen that, i'm running warty with UTF-8 only",-1
software,operating system,unseen error,update to a newer version of the operating system,low,"haven't seen that, i'm running warty with UTF-8 only",-1
